"Period","Year","Month","Oil Type","Volume (m3/d)","Volume (bbl/d)"
"03/01/1987","1987","March","Heavy","36524.954838","229846.317731458064"
"03/01/1987","1987","March","Total","85672.461290","539124.547738035483"
"04/01/1987","1987","April","Light","43884.290000","276157.561516530000"
"04/01/1987","1987","April","Medium","19894.956666","125196.117324530000"
"04/01/1987","1987","April","Heavy","35771.386666","225104.220985040000"
"04/01/1987","1987","April","Total","99550.633333","626457.899826100000"
"05/01/1987","1987","May","Light","55048.670967","346413.414440051612"
"05/01/1987","1987","May","Medium","19102.535483","120209.524137425806"
"05/01/1987","1987","May","Heavy","33614.403225","211530.632640338709"
"05/01/1987","1987","May","Total","107765.609677","678153.571217816129"
"06/01/1987","1987","June","Light","53306.416666","335449.657265750000"
"06/01/1987","1987","June","Medium","17470.496666","109939.337242310000"
"06/01/1987","1987","June","Heavy","41046.380000","258298.999707660000"
