"Period","Year","Month","Oil Type","Volume (m3/d)","Volume (bbl/d)"
"07/01/1994","1994","July","Medium","25384.067741","159738.308378312903"
"07/01/1994","1994","July","Heavy","38882.354838","244681.098823258064"
"07/01/1994","1994","July","Total","157880.941935","993522.190625303225"
"08/01/1994","1994","August","Light","92740.706451","583604.003778977419"
"08/01/1994","1994","August","Medium","30525.474193","192092.443957190322"
"08/01/1994","1994","August","Heavy","42452.145161","267145.278843241935"
"08/01/1994","1994","August","Total","165718.325806","1042841.726579409677"
"09/01/1994","1994","September","Light","94442.516666","594313.252103450000"
"09/01/1994","1994","September","Medium","27547.346666","173351.513302760000"
"09/01/1994","1994","September","Heavy","36337.856666","228668.935689830000"
"09/01/1994","1994","September","Total","158327.720000","996333.701096040000"
"10/01/1994","1994","October","Light","84148.783870","529536.263623906451"
"10/01/1994","1994","October","Medium","29040.106451","182745.237164777419"
"10/01/1994","1994","October","Heavy","40234.903225","253192.492408838709"
"10/01/1994","1994","October","Total","153423.793548","965473.993197522580"
"11/01/1994","1994","November","Light","100593.326666","633019.419867620000"
"11/01/1994","1994","November","Medium","29207.680000","183799.753541760000"
"11/01/1994","1994","November","Heavy","35923.913333","226064.049487060000"
"11/01/1994","1994","November","Total","165724.920000","1042883.222896440000"
"12/01/1994","1994","December","Light","98914.616129","622455.534509893548"
"12/01/1994","1994","December","Medium","30772.587096","193647.490120045161"
"12/01/1994","1994","December","Heavy","41703.506451","262434.202498577419"
"12/01/1994","1994","December","Total","171390.709677","1078537.227128516129"
"01/01/1995","1995","January","Light","91429.638709","575353.641961664516"
"01/01/1995","1995","January","Medium","31999.038709","201365.374737464516"
"01/01/1995","1995","January","Heavy","43679.441935","274868.481939803225"
"01/01/1995","1995","January","Total","167108.119354","1051587.498638932258"
"02/01/1995","1995","February","Light","78503.764285","494012.962611707142"
"02/01/1995","1995","February","Medium","31859.285714","200485.929122142857"
"02/01/1995","1995","February","Heavy","42195.614285","265530.966727157142"
"02/01/1995","1995","February","Total","152558.664285","960029.858461007142"
"03/01/1995","1995","March","Light","72882.925806","458641.829841609677"
"03/01/1995","1995","March","Medium","31016.829032","195184.469693448387"
"03/01/1995","1995","March","Heavy","40724.025806","256270.470864309677"
"03/01/1995","1995","March","Total","144623.780645","910096.770399367741"
"04/01/1995","1995","April","Light","97606.176666","614221.712080070000"
"04/01/1995","1995","April","Medium","31573.876666","198689.890798970000"
"04/01/1995","1995","April","Heavy","46354.666666","291703.288616000000"
"04/01/1995","1995","April","Total","175534.720000","1104614.891495040000"
"05/01/1995","1995","May","Light","96800.348387","609150.749950180645"
"05/01/1995","1995","May","Medium","30074.022580","189251.523514770967"
"05/01/1995","1995","May","Heavy","47637.109677","299773.519093316129"
"05/01/1995","1995","May","Total","174511.480645","1098175.792558267741"
"06/01/1995","1995","June","Light","94748.863333","596241.047869210000"
"06/01/1995","1995","June","Medium","31695.640000","199456.130043480000"
"06/01/1995","1995","June","Heavy","55468.006666","349052.234028380000"
"06/01/1995","1995","June","Total","181912.510000","1144749.411941070000"
"07/01/1995","1995","July","Light","86997.548387","547463.131350580645"
"07/01/1995","1995","July","Medium","33579.464516","211310.768336574193"
"07/01/1995","1995","July","Heavy","51932.367741","326802.963871412903"
"07/01/1995","1995","July","Total","172509.380645","1085576.863558567741"
"08/01/1995","1995","August","Light","88820.409677","558934.136781416129"
"08/01/1995","1995","August","Medium","34244.606451","215496.411421277419"
"08/01/1995","1995","August","Heavy","48226.712903","303483.807880054838"
"08/01/1995","1995","August","Total","171291.729032","1077914.356082748387"
"09/01/1995","1995","September","Light","80776.896666","508317.459627110000"
"09/01/1995","1995","September","Medium","32850.256666","206721.967616630000"
"09/01/1995","1995","September","Heavy","44713.293333","281374.360945720000"
"09/01/1995","1995","September","Total","158340.446666","996413.788189460000"
"10/01/1995","1995","October","Light","93661.019354","589395.401274232258"
"10/01/1995","1995","October","Medium","26472.674193","166588.753107590322"
"10/01/1995","1995","October","Heavy","51200.232258","322195.739966787096"
"10/01/1995","1995","October","Total","171333.925806","1078179.894348609677"
"11/01/1995","1995","November","Light","95150.156666","598766.329430930000"
"11/01/1995","1995","November","Medium","34717.197050","218470.356476471850"
"11/01/1995","1995","November","Heavy","45476.746666","286178.663598560000"
"11/01/1995","1995","November","Total","175344.100383","1103415.349505961850"
"12/01/1995","1995","December","Light","98183.254838","617853.182494558064"
"12/01/1995","1995","December","Medium","31531.290322","198421.901025483870"
"12/01/1995","1995","December","Heavy","51023.861290","321085.862687835483"
"12/01/1995","1995","December","Total","180738.406451","1137360.946207877419"
"01/01/1996","1996","January","Light","102533.306451","645227.435237177419"
"01/01/1996","1996","January","Medium","34357.480645","216206.712580267741"
"01/01/1996","1996","January","Heavy","53473.832258","336503.179641987096"
"01/01/1996","1996","January","Total","190364.619354","1197937.327459432258"
"02/01/1996","1996","February","Light","80284.937931","505221.633653875862"
"02/01/1996","1996","February","Medium","34249.062068","215524.449984124137"
"02/01/1996","1996","February","Heavy","46897.165517","295117.156305331034"
"02/01/1996","1996","February","Total","161431.165517","1015863.239943331034"
"03/01/1996","1996","March","Light","81329.741935","511796.435846903225"
"03/01/1996","1996","March","Medium","41132.509677","258841.001451116129"
"03/01/1996","1996","March","Heavy","47163.554838","296793.506211658064"
"03/01/1996","1996","March","Total","169625.806451","1067430.943509677419"
"04/01/1996","1996","April","Light","84815.786666","533733.616835840000"
"04/01/1996","1996","April","Medium","37095.820000","233438.690557740000"
"04/01/1996","1996","April","Heavy","44602.226666","280675.434294920000"
"04/01/1996","1996","April","Total","166513.833333","1047847.741688500000"
"05/01/1996","1996","May","Light","86445.964516","543992.092927074193"
"05/01/1996","1996","May","Medium","32626.829032","205315.969463448387"
"05/01/1996","1996","May","Heavy","49913.161290","314096.386417935483"
"05/01/1996","1996","May","Total","168985.954838","1063404.448808458064"
"06/01/1996","1996","June","Light","87299.983333","549366.311219050000"
"06/01/1996","1996","June","Medium","39627.476666","249370.043934170000"
"06/01/1996","1996","June","Heavy","59989.300000","377504.086430100000"
"06/01/1996","1996","June","Total","186916.760000","1176240.441583320000"
"07/01/1996","1996","July","Light","87379.112903","549864.262286854838"
"07/01/1996","1996","July","Medium","37996.396774","239105.891415261290"
"07/01/1996","1996","July","Heavy","52160.177419","328236.537594629032"
"07/01/1996","1996","July","Total","177535.687096","1117206.691296745161"
"08/01/1996","1996","August","Light","85952.800000","540888.679149600000"
"08/01/1996","1996","August","Medium","40416.270967","254333.813673251612"
"08/01/1996","1996","August","Heavy","47690.154838","300107.324707858064"
"08/01/1996","1996","August","Total","174059.225806","1095329.817530709677"
"09/01/1996","1996","September","Light","82525.516666","519321.275234450000"
"09/01/1996","1996","September","Medium","36793.050000","231533.402243850000"
"09/01/1996","1996","September","Heavy","41951.190000","263992.839649830000"
"09/01/1996","1996","September","Total","161269.756666","1014847.517128130000"
"10/01/1996","1996","October","Light","92994.787096","585202.896945445161"
"10/01/1996","1996","October","Medium","37546.932258","236277.475488687096"
"10/01/1996","1996","October","Heavy","52701.167741","331640.912333012903"
"10/01/1996","1996","October","Total","183242.887096","1153121.284767145161"
"11/01/1996","1996","November","Light","96851.273333","609471.213354580000"
"11/01/1996","1996","November","Medium","44753.346666","281626.410844760000"
"11/01/1996","1996","November","Heavy","60744.513333","382256.535941260000"
"11/01/1996","1996","November","Total","202349.133333","1273354.160140600000"
"12/01/1996","1996","December","Light","89178.467741","561187.344979112903"
"12/01/1996","1996","December","Medium","45535.945161","286551.191259841935"
"12/01/1996","1996","December","Heavy","63226.367741","397874.490829412903"
"12/01/1996","1996","December","Total","197940.780645","1245613.027068367741"
"01/01/1997","1997","January","Light","83339.712903","524444.895721054838"
"01/01/1997","1997","January","Medium","41203.277419","259286.332731329032"
"01/01/1997","1997","January","Heavy","66475.009677","418317.729973616129"
"01/01/1997","1997","January","Total","191018.000000","1202048.958426000000"
"02/01/1997","1997","February","Light","69573.950000","437818.918275150000"
"02/01/1997","1997","February","Medium","43740.189285","275250.756327932142"
"02/01/1997","1997","February","Heavy","66691.007142","419676.971135978571"
"02/01/1997","1997","February","Total","180005.146428","1132746.645739060714"
"03/01/1997","1997","March","Light","79447.212903","499949.949848554838"
"03/01/1997","1997","March","Medium","43285.622580","272390.233055970967"
"03/01/1997","1997","March","Heavy","54314.712903","341794.721296054838"
"03/01/1997","1997","March","Total","177047.548387","1114134.904200580645"
"04/01/1997","1997","April","Light","72085.143333","453621.498821170000"
"04/01/1997","1997","April","Medium","35389.876666","222703.433110970000"
"04/01/1997","1997","April","Heavy","58510.206666","368196.363593780000"
"04/01/1997","1997","April","Total","165985.226666","1044521.295525920000"
"05/01/1997","1997","May","Light","78375.109677","493203.357559316129"
"05/01/1997","1997","May","Medium","45717.364516","287692.837316874193"
"05/01/1997","1997","May","Heavy","66200.067741","416587.559690312903"
"05/01/1997","1997","May","Total","190292.541935","1197483.754566503225"
"06/01/1997","1997","June","Light","79822.183333","502309.585144450000"
"06/01/1997","1997","June","Medium","42357.060000","266546.921520420000"
"06/01/1997","1997","June","Heavy","66636.543333","419334.238170970000"
"06/01/1997","1997","June","Total","188815.786666","1188190.744835840000"
"07/01/1997","1997","July","Light","83627.058064","526253.117730696774"
"07/01/1997","1997","July","Medium","41896.741935","263650.205765903225"
"07/01/1997","1997","July","Heavy","67829.193548","426839.415425322580"
"07/01/1997","1997","July","Total","193352.993548","1216742.738921922580"
"08/01/1997","1997","August","Light","88541.506451","557179.038664577419"
"08/01/1997","1997","August","Medium","43460.538709","273490.955242964516"
"08/01/1997","1997","August","Heavy","71822.464516","451968.498587574193"
"08/01/1997","1997","August","Total","203824.509677","1282638.492495116129"
"09/01/1997","1997","September","Light","89340.016666","562203.949260950000"
"09/01/1997","1997","September","Medium","44659.360000","281034.966191520000"
"09/01/1997","1997","September","Heavy","70697.760000","444890.893900320000"
"09/01/1997","1997","September","Total","204697.136666","1288129.809352790000"
"10/01/1997","1997","October","Light","79265.338709","498805.441556564516"
"10/01/1997","1997","October","Medium","43890.129032","276194.305711548387"
"10/01/1997","1997","October","Heavy","64305.419354","404664.808325032258"
"10/01/1997","1997","October","Total","187460.887096","1179664.555593145161"
"11/01/1997","1997","November","Light","84574.520000","532215.360203640000"
"11/01/1997","1997","November","Medium","44485.986666","279943.952597240000"
"11/01/1997","1997","November","Heavy","80962.390000","509484.742648230000"
"11/01/1997","1997","November","Total","210022.896666","1321644.055449110000"
"12/01/1997","1997","December","Light","95114.019354","598538.922495232258"
"12/01/1997","1997","December","Medium","44254.619354","278487.991189432258"
"12/01/1997","1997","December","Heavy","90720.980645","570894.158099767741"
"12/01/1997","1997","December","Total","230089.619354","1447921.071784432258"
"01/01/1998","1998","January","Light","97909.077419","616127.823201929032"
"01/01/1998","1998","January","Medium","44354.661290","279117.540783435483"
"01/01/1998","1998","January","Heavy","86120.761290","541945.635531135483"
"01/01/1998","1998","January","Total","228384.500000","1437190.999516500000"
"02/01/1998","1998","February","Light","94662.867857","595699.890634896428"
"02/01/1998","1998","February","Medium","41011.867857","258081.819727896428"
"02/01/1998","1998","February","Heavy","89465.578571","562994.092372264285"
"02/01/1998","1998","February","Total","225140.314285","1416775.802735057142"
"03/01/1998","1998","March","Light","72097.174193","453697.207304090322"
"03/01/1998","1998","March","Medium","41085.841935","258547.328024603225"
"03/01/1998","1998","March","Heavy","83122.219354","523076.239922632258"
"03/01/1998","1998","March","Total","196305.235483","1235320.775251325806"
"04/01/1998","1998","April","Light","90960.813333","572403.390910360000"
"04/01/1998","1998","April","Medium","43150.076666","271537.262002370000"
"04/01/1998","1998","April","Heavy","83612.740000","526163.016198180000"
"04/01/1998","1998","April","Total","217723.630000","1370103.669110910000"
"05/01/1998","1998","May","Light","101076.670967","636061.036436051612"
"05/01/1998","1998","May","Medium","38763.912903","243935.760660454838"
"05/01/1998","1998","May","Heavy","77865.329032","489995.380857948387"
"05/01/1998","1998","May","Total","217705.912903","1369992.177954454838"
"06/01/1998","1998","June","Light","110497.756666","695346.581524130000"
"06/01/1998","1998","June","Medium","41795.250000","263011.531529250000"
"06/01/1998","1998","June","Heavy","75617.560000","475850.491768920000"
"06/01/1998","1998","June","Total","227910.566666","1434208.604822300000"
"07/01/1998","1998","July","Light","94076.788387","592011.776339260645"
"07/01/1998","1998","July","Medium","36403.067741","229079.299661312903"
"07/01/1998","1998","July","Heavy","89174.054838","561159.575210158064"
"07/01/1998","1998","July","Total","219653.910967","1382250.651210731612"
"08/01/1998","1998","August","Light","101776.342258","640463.967813057096"
"08/01/1998","1998","August","Medium","38216.045161","240488.107305541935"
"08/01/1998","1998","August","Heavy","76353.080645","480479.018009467741"
"08/01/1998","1998","August","Total","216345.468064","1361431.093128066774"
"09/01/1998","1998","September","Light","79846.963333","502465.522140910000"
"09/01/1998","1998","September","Medium","35772.033333","225108.290365900000"
"09/01/1998","1998","September","Heavy","71085.576666","447331.368725870000"
"09/01/1998","1998","September","Total","186704.573333","1174905.181232680000"
"10/01/1998","1998","October","Light","103505.138709","651343.036665164516"
"10/01/1998","1998","October","Medium","34991.741935","220198.028180903225"
"10/01/1998","1998","October","Heavy","75207.564516","473270.448818274193"
"10/01/1998","1998","October","Total","213704.445161","1344811.513664341935"
"11/01/1998","1998","November","Light","86943.993333","547126.117055620000"
"11/01/1998","1998","November","Medium","36244.856666","228083.699988830000"
"11/01/1998","1998","November","Heavy","74750.746666","470395.759416560000"
"11/01/1998","1998","November","Total","197939.596666","1245605.576461010000"
"12/01/1998","1998","December","Light","94134.541935","592375.211160503225"
"12/01/1998","1998","December","Medium","36878.941935","232073.907911303225"
"12/01/1998","1998","December","Heavy","72503.925806","456256.837038609677"
"12/01/1998","1998","December","Total","203517.409677","1280705.956110416129"
"01/01/1999","1999","January","Light","91099.205806","573274.274953569677"
"01/01/1999","1999","January","Medium","29036.674193","182723.638455590322"
"01/01/1999","1999","January","Heavy","68910.351612","433642.988519719354"
"01/01/1999","1999","January","Total","189046.231612","1189640.901928879354"
"02/01/1999","1999","February","Light","83796.591428","527319.966947425714"
"02/01/1999","1999","February","Medium","29616.267857","186370.938498696428"
"02/01/1999","1999","February","Heavy","70116.614285","441233.827024157142"
"02/01/1999","1999","February","Total","183529.473571","1154924.732470279285"
"03/01/1999","1999","March","Light","67781.977419","426542.291077229032"
"03/01/1999","1999","March","Medium","40690.654838","256060.472136358064"
"03/01/1999","1999","March","Heavy","69755.451612","438961.081970419354"
"03/01/1999","1999","March","Total","178228.083870","1121563.845184006451"
"04/01/1999","1999","April","Light","80639.960000","507455.736765720000"
"04/01/1999","1999","April","Medium","37792.970000","237825.755815290000"
"04/01/1999","1999","April","Heavy","68171.063333","428990.753094610000"
"04/01/1999","1999","April","Total","186603.993333","1174272.245675620000"
"05/01/1999","1999","May","Light","93171.193548","586312.997519322580"
"05/01/1999","1999","May","Medium","31313.941935","197054.158706303225"
"05/01/1999","1999","May","Heavy","72645.964516","457150.666327074193"
"05/01/1999","1999","May","Total","197131.100000","1240517.822552700000"
"06/01/1999","1999","June","Light","99640.218333","627021.645420445000"
"06/01/1999","1999","June","Medium","29433.250000","185219.233295250000"
"06/01/1999","1999","June","Heavy","79120.279333","497892.603644722000"
"06/01/1999","1999","June","Total","208193.747666","1310133.482360417000"
"07/01/1999","1999","July","Light","110477.483548","695219.005689852580"
"07/01/1999","1999","July","Medium","25903.867741","163009.335446912903"
"07/01/1999","1999","July","Heavy","73244.590322","460917.732923583870"
"07/01/1999","1999","July","Total","209625.941612","1319146.074060349354"
"08/01/1999","1999","August","Light","100526.658709","632599.887947804516"
"08/01/1999","1999","August","Medium","26557.303225","167121.311505638709"
"08/01/1999","1999","August","Heavy","71002.706451","446809.878312977419"
"08/01/1999","1999","August","Total","198086.668387","1246531.077766420645"
"09/01/1999","1999","September","Light","94357.615333","593778.980153674000"
"09/01/1999","1999","September","Medium","25186.380000","158494.287687660000"
"09/01/1999","1999","September","Heavy","66584.440000","419006.359345080000"
"09/01/1999","1999","September","Total","186128.435333","1171279.627186414000"
"10/01/1999","1999","October","Light","87662.144193","551645.337723380322"
"10/01/1999","1999","October","Medium","31373.003225","197425.822960538709"
"10/01/1999","1999","October","Heavy","72281.696774","454858.381517361290"
"10/01/1999","1999","October","Total","191316.844193","1203929.542201280322"
"11/01/1999","1999","November","Light","114208.178333","718695.734482165000"
"11/01/1999","1999","November","Medium","34656.876666","218090.768929970000"
"11/01/1999","1999","November","Heavy","82659.133333","520162.105810600000"
"11/01/1999","1999","November","Total","231524.188333","1456948.609222735000"
"12/01/1999","1999","December","Light","107809.088387","678427.176520360645"
"12/01/1999","1999","December","Medium","33123.512903","208441.530037654838"
"12/01/1999","1999","December","Heavy","86295.203225","543043.373685938709"
"12/01/1999","1999","December","Total","227227.804516","1429912.080243954193"
"01/01/2000","2000","January","Light","102222.652580","643272.534850680967"
"01/01/2000","2000","January","Medium","25889.087096","162916.322960545161"
"01/01/2000","2000","January","Heavy","90128.119354","567163.366778932258"
"01/01/2000","2000","January","Total","218239.859032","1373352.224590158387"
"02/01/2000","2000","February","Light","104746.208965","659152.914312117931"
"02/01/2000","2000","February","Medium","27786.637931","174857.339010775862"
"02/01/2000","2000","February","Heavy","81843.058620","515026.664342617241"
"02/01/2000","2000","February","Total","214375.905517","1349036.917665511034"
"03/01/2000","2000","March","Light","101307.220967","637511.854617401612"
"03/01/2000","2000","March","Medium","26496.022580","166735.681168770967"
"03/01/2000","2000","March","Heavy","91580.883870","576305.406133606451"
"03/01/2000","2000","March","Total","219384.127419","1380552.941919779032"
"04/01/2000","2000","April","Light","106013.969333","667130.749017052000"
"04/01/2000","2000","April","Medium","25062.350000","157713.784633950000"
"04/01/2000","2000","April","Heavy","78239.903333","492352.523370490000"
"04/01/2000","2000","April","Total","209316.222666","1317197.057021492000"
"05/01/2000","2000","May","Light","108433.832903","682358.604421894838"
"05/01/2000","2000","May","Medium","31567.764516","198651.427909674193"
"05/01/2000","2000","May","Heavy","97939.658064","616320.262828896774"
"05/01/2000","2000","May","Total","237941.255483","1497330.295160465806"
"06/01/2000","2000","June","Light","114142.314333","718281.261748717000"
"06/01/2000","2000","June","Medium","24274.980000","152758.977817860000"
"06/01/2000","2000","June","Heavy","93868.206666","590699.201399780000"
"06/01/2000","2000","June","Total","232285.501000","1461739.440966357000"
"07/01/2000","2000","July","Light","94025.696129","591690.260065453548"
"07/01/2000","2000","July","Medium","30742.296774","193456.877451561290"
"07/01/2000","2000","July","Heavy","87349.929032","549680.612360148387"
"07/01/2000","2000","July","Total","212117.921935","1334827.749877163225"
"08/01/2000","2000","August","Light","98057.051290","617059.001611665483"
"08/01/2000","2000","August","Medium","28718.390322","180720.723570183870"
"08/01/2000","2000","August","Heavy","84657.006451","532734.435648077419"
"08/01/2000","2000","August","Total","211432.448064","1330514.160829926774"
"09/01/2000","2000","September","Light","95258.566000","599448.533863062000"
"09/01/2000","2000","September","Medium","28253.120000","177792.843963840000"
"09/01/2000","2000","September","Heavy","80536.163333","506802.559185310000"
"09/01/2000","2000","September","Total","204047.849333","1284043.937012212000"
"10/01/2000","2000","October","Light","100041.921935","629549.508745163225"
"10/01/2000","2000","October","Medium","28734.948387","180824.921102380645"
"10/01/2000","2000","October","Heavy","90494.488709","569468.876738114516"
"10/01/2000","2000","October","Total","219271.359032","1379843.306585658387"
"11/01/2000","2000","November","Light","95753.910000","602565.662820870000"
"11/01/2000","2000","November","Medium","27360.973333","172178.692567480000"
"11/01/2000","2000","November","Heavy","93007.600000","585283.526713200000"
"11/01/2000","2000","November","Total","216122.483333","1360027.882101550000"
"12/01/2000","2000","December","Light","105556.113225","664249.526005808709"
"12/01/2000","2000","December","Medium","26521.125806","166893.652179009677"
"12/01/2000","2000","December","Heavy","103901.387096","653836.571101645161"
"12/01/2000","2000","December","Total","235978.626129","1484979.749286463548"
"01/01/2001","2001","January","Light","91520.170967","575923.348515551612"
"01/01/2001","2001","January","Medium","26806.412903","168688.923082954838"
"01/01/2001","2001","January","Heavy","96825.148387","609306.812803780645"
"01/01/2001","2001","January","Total","215151.732258","1353919.084402287096"
"02/01/2001","2001","February","Light","98519.175000","619967.080032975000"
"02/01/2001","2001","February","Medium","19389.610714","122016.047510667857"
"02/01/2001","2001","February","Heavy","100608.603571","633115.555244689285"
"02/01/2001","2001","February","Total","218517.389285","1375098.682788332142"
"03/01/2001","2001","March","Light","101181.589032","636721.270812768387"
"03/01/2001","2001","March","Medium","26179.419354","164743.342343032258"
"03/01/2001","2001","March","Heavy","95241.077419","599338.480725929032"
"03/01/2001","2001","March","Total","222602.085806","1400803.093881729677"
"04/01/2001","2001","April","Light","95875.903333","603333.349422490000"
"04/01/2001","2001","April","Medium","28748.213333","180908.395512160000"
"04/01/2001","2001","April","Heavy","105004.506666","660778.344808880000"
"04/01/2001","2001","April","Total","229628.623333","1445020.089743530000"
"05/01/2001","2001","May","Light","103831.631612","653397.609816679354"
"05/01/2001","2001","May","Medium","23680.009677","149014.914658616129"
"05/01/2001","2001","May","Heavy","98221.107419","618091.383371639032"
"05/01/2001","2001","May","Total","225732.748709","1420503.907846934516"
"06/01/2001","2001","June","Light","100613.010000","633143.284269570000"
"06/01/2001","2001","June","Medium","28300.953333","178093.852290340000"
"06/01/2001","2001","June","Heavy","97249.820000","611979.210535740000"
"06/01/2001","2001","June","Total","226163.783333","1423216.347095650000"
"07/01/2001","2001","July","Light","94673.175483","595764.755055905806"
"07/01/2001","2001","July","Medium","30696.900000","193171.202043300000"
"07/01/2001","2001","July","Heavy","86859.245161","546592.808927941935"
"07/01/2001","2001","July","Total","212229.320645","1335528.766027147741"
"08/01/2001","2001","August","Light","87716.793548","551989.238298522580"
"08/01/2001","2001","August","Medium","28571.629032","179797.175757048387"
"08/01/2001","2001","August","Heavy","89666.790322","564260.289148983870"
"08/01/2001","2001","August","Total","205955.212903","1296046.703204554838"
"09/01/2001","2001","September","Light","93476.809000","588236.191853313000"
"09/01/2001","2001","September","Medium","29173.913333","183587.264737060000"
"09/01/2001","2001","September","Heavy","85512.860000","538120.199641020000"
"09/01/2001","2001","September","Total","208163.582333","1309943.656231393000"
"10/01/2001","2001","October","Light","103971.894193","654280.262179130322"
"10/01/2001","2001","October","Medium","28372.632258","178544.917513587096"
"10/01/2001","2001","October","Heavy","94631.777419","595504.242955829032"
"10/01/2001","2001","October","Total","226976.303870","1428329.422648546451"
"11/01/2001","2001","November","Light","106321.585000","669066.530418345000"
"11/01/2001","2001","November","Medium","29692.556666","186851.013067730000"
"11/01/2001","2001","November","Heavy","98998.273333","622981.977333580000"
"11/01/2001","2001","November","Total","235012.415000","1478899.520819655000"
"12/01/2001","2001","December","Light","95155.596129","598800.559189753548"
"12/01/2001","2001","December","Medium","29459.945161","185387.222127841935"
"12/01/2001","2001","December","Heavy","99281.258064","624762.759780096774"
"12/01/2001","2001","December","Total","223896.799354","1408950.541097692258"
"01/01/2002","2002","January","Light","99208.176451","624302.867640767419"
"01/01/2002","2002","January","Medium","30015.896774","188885.746126761290"
"01/01/2002","2002","January","Heavy","88019.861290","553896.400259835483"
"01/01/2002","2002","January","Total","217243.934516","1367085.014027364193"
"02/01/2002","2002","February","Light","92176.815714","580055.520005352857"
"02/01/2002","2002","February","Medium","29878.717857","188022.498818346428"
"02/01/2002","2002","February","Heavy","85945.982142","540845.775349553571"
"02/01/2002","2002","February","Total","208001.515714","1308923.794173252857"
"03/01/2002","2002","March","Light","97406.397741","612964.531875122903"
"03/01/2002","2002","March","Medium","31041.245161","195338.116901941935"
"03/01/2002","2002","March","Heavy","88009.803225","553833.106298138709"
"03/01/2002","2002","March","Total","216457.446129","1362135.755075203548"
"04/01/2002","2002","April","Light","92011.816333","579017.202495931000"
"04/01/2002","2002","April","Medium","33732.403333","212273.190442990000"
"04/01/2002","2002","April","Heavy","101556.923333","639083.195896630000"
"04/01/2002","2002","April","Total","227301.143000","1430373.588835551000"
"05/01/2002","2002","May","Light","111955.699032","704521.204345038387"
"05/01/2002","2002","May","Medium","30595.806451","192535.034799677419"
"05/01/2002","2002","May","Heavy","103358.477419","650420.118137729032"
"05/01/2002","2002","May","Total","245909.982903","1547476.357282444838"
"06/01/2002","2002","June","Light","97094.553666","611002.141703159000"
"06/01/2002","2002","June","Medium","26205.310000","164906.268470670000"
"06/01/2002","2002","June","Heavy","111505.986666","701691.228737240000"
"06/01/2002","2002","June","Total","234805.850333","1477599.638911069000"
"07/01/2002","2002","July","Light","100732.757096","633896.835625735161"
"07/01/2002","2002","July","Medium","30103.864516","189439.314547374193"
"07/01/2002","2002","July","Heavy","90769.712903","571200.823231054838"
"07/01/2002","2002","July","Total","221606.334516","1394536.973404164193"
"08/01/2002","2002","August","Light","96696.602903","608497.894455784838"
"08/01/2002","2002","August","Medium","30708.377741","193243.429831982903"
"08/01/2002","2002","August","Heavy","100249.945161","630858.569157841935"
"08/01/2002","2002","August","Total","227654.925806","1432599.893445609677"
"09/01/2002","2002","September","Light","99115.031666","623716.720828805000"
"09/01/2002","2002","September","Medium","29592.393333","186220.699534420000"
"09/01/2002","2002","September","Heavy","107094.693333","673931.590605520000"
"09/01/2002","2002","September","Total","235802.118333","1483869.010968745000"
"10/01/2002","2002","October","Light","107446.827419","676147.520053679032"
"10/01/2002","2002","October","Medium","28454.351612","179059.165727719354"
"10/01/2002","2002","October","Heavy","97089.219354","610968.573641632258"
"10/01/2002","2002","October","Total","232990.398387","1466175.259423030645"
"11/01/2002","2002","November","Light","107723.929666","677891.284870391000"
"11/01/2002","2002","November","Medium","29577.856666","186129.222369830000"
"11/01/2002","2002","November","Heavy","112662.106666","708966.526572080000"
"11/01/2002","2002","November","Total","249963.893000","1572987.033812301000"
"12/01/2002","2002","December","Light","113678.758709","715364.172497504516"
"12/01/2002","2002","December","Medium","29998.029032","188773.306981848387"
"12/01/2002","2002","December","Heavy","110083.393548","692739.053674722580"
"12/01/2002","2002","December","Total","253760.181290","1596876.533154075483"
"01/01/2003","2003","January","Light","95415.337419","600435.073986749032"
"01/01/2003","2003","January","Medium","27828.138709","175118.497476164516"
"01/01/2003","2003","January","Heavy","102468.993548","644822.723333922580"
"01/01/2003","2003","January","Total","225712.469677","1420376.294796836129"
"02/01/2003","2003","February","Light","90241.288214","567875.522228285357"
"02/01/2003","2003","February","Medium","32162.846428","202396.193287960714"
"02/01/2003","2003","February","Heavy","94999.203571","597816.403188889285"
"02/01/2003","2003","February","Total","217403.338214","1368088.118705135357"
"03/01/2003","2003","March","Light","99679.534193","627269.054506610322"
"03/01/2003","2003","March","Medium","29013.993548","182580.912398922580"
"03/01/2003","2003","March","Heavy","114448.492903","720207.999705514838"
"03/01/2003","2003","March","Total","243142.020645","1530057.966611047741"
"04/01/2003","2003","April","Light","78418.756333","493478.019723511000"
"04/01/2003","2003","April","Medium","21774.695000","137025.041853615000"
"04/01/2003","2003","April","Heavy","113100.060000","711722.504271420000"
"04/01/2003","2003","April","Total","213293.511333","1342225.565848546000"
"05/01/2003","2003","May","Light","95400.472903","600341.533712374838"
"05/01/2003","2003","May","Medium","26347.580322","165801.555266013870"
"05/01/2003","2003","May","Heavy","111192.316129","699717.344898793548"
"05/01/2003","2003","May","Total","232940.369354","1465860.433877182258"
"06/01/2003","2003","June","Light","99489.671333","626074.274677666000"
"06/01/2003","2003","June","Medium","36388.414666","228987.089954036000"
"06/01/2003","2003","June","Heavy","111605.586666","702317.997294440000"
"06/01/2003","2003","June","Total","247483.672666","1557379.361926142000"
"07/01/2003","2003","July","Light","94236.082258","593014.189890237096"
"07/01/2003","2003","July","Medium","31674.319354","199321.962272332258"
"07/01/2003","2003","July","Heavy","119538.896774","752241.183337761290"
"07/01/2003","2003","July","Total","245449.298387","1544577.335500330645"
"08/01/2003","2003","August","Light","119792.008064","753833.976492846774"
