,Date,death_cnt,hosp_cnt,ill_cnt
87,2021-10-26,0,4,96
683,2021-10-27,2,6,84
497,2021-10-28,2,8,88
665,2021-10-29,1,3,93
144,2021-10-30,2,6,74
473,2021-10-31,0,7,91
68,2021-11-01,1,6,124
526,2021-11-02,2,8,141
732,2021-11-03,0,10,123
511,2021-11-04,1,6,118
848,2021-11-05,2,4,102
145,2021-11-06,0,6,105
289,2021-11-07,1,9,112
804,2021-11-08,5,7,119
690,2021-11-09,0,7,122
300,2021-11-10,2,8,104
399,2021-11-11,0,4,87
158,2021-11-12,3,9,117
397,2021-11-13,1,3,81
38,2021-11-14,1,6,95
797,2021-11-15,2,3,149
793,2021-11-16,4,8,126
681,2021-11-17,3,9,133
544,2021-11-18,2,10,96
925,2021-11-19,1,4,86
217,2021-11-20,2,9,91
268,2021-11-21,1,11,99
384,2021-11-22,0,3,100
541,2021-11-23,1,5,101
111,2021-11-24,1,5,118
391,2021-11-25,5,9,84
746,2021-11-26,1,7,128
625,2021-11-27,2,10,128
752,2021-11-28,0,7,131
159,2021-11-29,1,10,174
800,2021-11-30,0,9,135
501,2021-12-01,1,9,139
728,2021-12-02,1,9,114
579,2021-12-03,1,11,115
393,2021-12-04,0,6,99
398,2021-12-05,2,7,108
232,2021-12-06,0,6,159
332,2021-12-07,2,8,136
66,2021-12-08,6,11,127
714,2021-12-09,1,4,97
542,2021-12-10,1,4,103
844,2021-12-11,1,8,94
118,2021-12-12,5,9,107
563,2021-12-13,2,9,145
782,2021-12-14,1,5,135
748,2021-12-15,2,7,107
922,2021-12-16,1,7,117
418,2021-12-17,1,6,111
760,2021-12-18,1,3,92
686,2021-12-19,0,5,110
319,2021-12-20,2,9,149
264,2021-12-21,4,5,114
763,2021-12-22,2,11,134
819,2021-12-23,0,2,110
278,2021-12-24,1,5,144
1031,2021-12-25,1,10,141
108,2021-12-26,2,6,176
287,2021-12-27,4,15,250
76,2021-12-28,4,19,218
498,2021-12-29,5,8,157
4,2021-12-30,6,9,164
49,2021-12-31,2,11,120
88,2022-01-01,7,20,186
643,2022-01-02,3,12,220
407,2022-01-03,4,18,331
174,2022-01-04,3,10,262
805,2022-01-05,6,15,205
537,2022-01-06,7,19,189
564,2022-01-07,0,13,203
400,2022-01-08,10,19,175
247,2022-01-09,3,12,157
11,2022-01-10,7,13,222
815,2022-01-11,4,8,232
272,2022-01-12,5,15,224
255,2022-01-13,3,8,165
737,2022-01-14,3,13,173
417,2022-01-15,5,15,154
876,2022-01-16,2,11,159
26,2022-01-17,4,11,202
454,2022-01-18,5,16,176
253,2022-01-19,2,7,181
764,2022-01-20,2,14,117
51,2022-01-21,3,7,121
316,2022-01-22,3,13,96
794,2022-01-23,1,9,108
539,2022-01-24,5,9,141
952,2022-01-25,5,9,138
709,2022-01-26,2,6,97
850,2022-01-27,1,2,95
286,2022-01-28,2,8,93
702,2022-01-29,2,5,73
812,2022-01-30,1,5,77
580,2022-01-31,1,6,104
725,2022-02-01,2,11,99
700,2022-02-02,1,8,67
612,2022-02-03,2,7,57
411,2022-02-04,2,6,63
554,2022-02-05,0,4,51
177,2022-02-06,1,7,55
149,2022-02-07,1,5,75
518,2022-02-08,0,5,52
1004,2022-02-09,1,6,47
136,2022-02-10,0,3,45
870,2022-02-11,1,2,22
409,2022-02-12,2,4,34
408,2022-02-13,0,1,30
673,2022-02-14,1,4,41
328,2022-02-15,0,2,33
183,2022-02-16,1,6,26
904,2022-02-17,1,3,24
396,2022-02-18,1,3,33
786,2022-02-19,2,5,18
202,2022-02-20,0,4,13
988,2022-02-21,0,2,22
1066,2022-02-22,0,1,20
1000,2022-02-23,0,2,23
962,2022-02-24,1,1,14
1069,2022-02-25,0,2,12
557,2022-02-26,1,4,15
754,2022-02-27,1,1,16
1013,2022-02-28,0,0,10
1060,2022-03-01,0,0,14
712,2022-03-02,2,2,16
1086,2022-03-03,0,2,10
307,2022-03-04,0,2,18
566,2022-03-05,1,0,8
689,2022-03-06,0,3,19
1075,2022-03-07,0,1,12
906,2022-03-08,0,1,12
1038,2022-03-09,0,0,13
1017,2022-03-10,0,0,5
821,2022-03-11,0,0,10
905,2022-03-12,1,1,10
1015,2022-03-13,0,1,9
1118,2022-03-14,1,2,11
795,2022-03-15,0,0,8
1052,2022-03-16,0,0,10
1055,2022-03-17,1,2,4
809,2022-03-18,0,0,7
1053,2022-03-19,0,1,9
44,2022-03-20,0,1,13
1084,2022-03-21,0,0,9
1146,2022-03-22,0,0,10
1140,2022-03-23,0,0,10
747,2022-03-24,0,2,11
1134,2022-03-25,0,1,5
1009,2022-03-26,0,1,3
1117,2022-03-27,1,2,10
990,2022-03-28,0,0,15
919,2022-03-29,0,2,12
